instance,N,greedy,rand_0.1,rand_0.2,rand_0.3,react_0.5,react_1.0,react_2.0,time_greedy,time_rand_0.1,time_rand_0.2,time_rand_0.3,time_react_0.5,time_react_1.0,time_react_2.0,master_seed
scenario_n100_l100_d0.20_instance01,100,18.29,25.42,35.04,25.42,13.58,13.46,13.21,2.75,172.69,194.62,223.03,1857.22,1831.31,1785.25,1783263541
scenario_n100_l100_d0.50_instance01,100,14.96,23.96,34.83,22.33,8.08,8.08,9.29,2.89,238.91,270.42,301.06,2543.37,2493.37,2419.04,1783263541
scenario_n100_l100_d0.80_instance01,100,13.38,23.83,34.42,21.79,6.92,6.92,8.5,3.53,316.74,352.59,382.75,3297.34,3254.87,3149.95,1783263541
scenario_n100_l125_d0.20_instance01,100,21.42,29.58,39.58,28.46,15.12,14.96,15.71,3.46,214.79,252.46,289.2,2391.12,2335.21,2261.78,1783263541
scenario_n100_l125_d0.50_instance01,100,17.54,28.12,39.29,26.0,10.08,10.04,11.57,3.38,282.65,327.77,368.61,3031.89,2952.53,2853.37,1783263541
scenario_n100_l125_d0.80_instance01,100,15.83,28.54,39.46,24.83,8.75,8.58,10.57,3.9,359.25,410.41,454.42,3818.03,3726.23,3618.16,1783263541
scenario_n100_l25_d0.20_instance01,100,6.54,8.46,12.17,8.67,5.17,5.04,5.07,1.09,81.68,80.7,81.14,777.82,780.22,779.07,1783263541
scenario_n100_l25_d0.50_instance01,100,4.96,7.62,11.79,7.5,2.79,2.79,3.0,1.83,152.82,153.62,155.75,1492.12,1484.37,1478.84,1783263541
scenario_n100_l25_d0.80_instance01,100,4.5,7.62,11.71,7.33,2.42,2.42,2.71,2.82,228.61,229.38,230.44,2220.3,2220.81,2215.79,1783263541
scenario_n100_l50_d0.20_instance01,100,10.71,14.83,21.42,15.08,8.04,8.08,7.93,1.41,104.37,108.14,113.79,1048.67,1044.31,1036.66,1783263541
scenario_n100_l50_d0.50_instance01,100,8.33,13.62,20.96,13.54,4.62,4.62,4.86,2.12,176.04,182.61,188.34,1751.51,1744.43,1729.55,1783263541
scenario_n100_l50_d0.80_instance01,100,7.62,13.75,21.25,13.0,3.92,3.92,4.43,2.87,253.72,259.34,267.57,2520.27,2510.52,2478.05,1783263541
scenario_n20_l20_d0.20_instance01,20,8.21,8.38,8.75,8.67,8.29,8.21,8.29,0.27,8.82,9.02,9.23,86.8,87.23,87.79,1783263541
scenario_n20_l20_d0.50_instance01,20,4.33,5.17,6.12,5.17,3.88,3.88,3.93,0.25,9.71,10.0,10.25,94.61,95.48,94.92,1783263541
scenario_n20_l20_d0.80_instance01,20,3.54,4.58,5.79,4.83,2.96,2.96,2.86,0.29,11.29,11.67,12.33,112.32,110.87,110.18,1783263541
scenario_n30_l30_d0.20_instance01,30,9.29,9.83,11.46,10.25,8.88,8.67,8.5,0.48,18.35,18.6,19.27,179.64,180.08,177.02,1783263541
scenario_n30_l30_d0.50_instance01,30,5.92,7.5,9.5,7.54,4.92,4.92,4.71,0.49,20.91,22.31,23.24,209.02,208.65,205.87,1783263541
scenario_n30_l30_d0.80_instance01,30,4.83,6.67,9.42,6.83,3.42,3.42,3.43,0.54,24.96,26.53,27.83,252.31,248.78,244.82,1783263541
scenario_n40_l40_d0.20_instance01,40,10.46,11.96,14.33,12.17,9.67,9.71,9.93,0.72,30.47,31.84,32.88,306.18,305.66,301.62,1783263541
scenario_n40_l40_d0.50_instance01,40,7.04,9.33,12.92,9.67,5.0,5.08,5.0,0.67,35.36,37.3,40.25,361.78,353.84,347.64,1783263541
scenario_n40_l40_d0.80_instance01,40,6.12,9.04,12.42,8.75,3.79,3.79,3.86,0.77,42.67,45.81,48.23,432.95,427.64,418.92,1783263541
scenario_n50_l12_d0.20_instance01,50,4.42,5.0,5.92,4.96,4.12,4.08,3.93,0.41,19.54,19.5,19.27,185.06,186.74,183.58,1783263541
scenario_n50_l12_d0.50_instance01,50,2.88,3.92,5.58,4.04,2.17,2.17,2.07,0.61,31.71,31.54,31.79,305.77,305.83,306.03,1783263541
scenario_n50_l12_d0.80_instance01,50,2.46,3.83,5.58,3.58,1.67,1.67,1.86,0.8,43.98,44.04,43.87,423.25,425.6,422.86,1783263541
scenario_n50_l25_d0.20_instance01,50,7.17,8.62,11.04,8.79,6.54,6.58,6.5,0.57,27.23,28.76,28.2,264.9,264.68,262.44,1783263541
scenario_n50_l25_d0.50_instance01,50,5.29,7.46,10.17,7.29,3.67,3.67,3.93,0.72,39.35,39.66,40.7,382.49,380.59,377.9,1783263541
scenario_n50_l25_d0.80_instance01,50,4.42,7.0,10.21,6.96,2.79,2.79,3.07,0.87,52.4,52.51,53.2,499.65,496.85,495.16,1783263541
scenario_n50_l50_d0.20_instance01,50,11.38,13.92,17.58,14.33,10.08,10.12,9.93,0.95,44.96,48.63,52.35,463.75,460.74,456.58,1783263541
scenario_n50_l50_d0.50_instance01,50,8.33,11.62,16.38,11.54,5.5,5.54,5.57,1.0,57.0,59.96,65.35,569.0,563.05,552.79,1783263541
scenario_n50_l50_d0.80_instance01,50,7.33,11.29,16.21,11.04,4.38,4.38,4.64,1.09,67.63,71.87,78.21,685.27,677.52,663.6,1783263541
scenario_n50_l62_d0.20_instance01,50,13.54,16.62,20.25,16.71,11.92,12.0,12.0,1.2,56.47,60.53,65.97,586.25,583.88,577.85,1783263541
scenario_n50_l62_d0.50_instance01,50,9.67,13.71,18.58,13.29,6.71,6.67,7.0,1.1,63.84,72.4,81.11,680.4,669.04,650.95,1783263541
scenario_n50_l62_d0.80_instance01,50,8.5,13.42,18.54,12.88,5.75,5.67,6.21,1.18,76.72,84.8,93.98,796.54,783.4,762.76,1783263541
