instance,N,greedy,time_greedy,master_seed
scenario_n1000_l1000_d0.20_instance01,1000,68.0,267.36,1783263541
scenario_n1000_l1000_d0.50_instance01,1000,47.33,464.1,1783263541
scenario_n1000_l1000_d0.80_instance01,1000,25.6,693.47,1783263541
scenario_n1000_l1250_d0.20_instance01,1000,73.33,317.46,1783263541
scenario_n1000_l1250_d0.50_instance01,1000,50.0,505.85,1783263541
scenario_n1000_l1250_d0.80_instance01,1000,26.47,709.97,1783263541
scenario_n1000_l250_d0.20_instance01,1000,39.53,155.9,1783263541
scenario_n1000_l250_d0.50_instance01,1000,34.33,408.07,1783263541
scenario_n1000_l250_d0.80_instance01,1000,12.2,670.8,1783263541
scenario_n1000_l500_d0.20_instance01,1000,50.47,193.75,1783263541
scenario_n1000_l500_d0.50_instance01,1000,39.71,435.66,1783263541
scenario_n1000_l500_d0.80_instance01,1000,18.0,709.06,1783263541
scenario_n1000_l750_d0.20_instance01,1000,59.14,228.72,1783263541
scenario_n1000_l750_d0.50_instance01,1000,43.57,458.09,1783263541
scenario_n1000_l750_d0.80_instance01,1000,19.79,706.52,1783263541
scenario_n500_l125_d0.20_instance01,500,15.36,20.87,1783263541
scenario_n500_l125_d0.50_instance01,500,6.86,58.5,1783263541
scenario_n500_l125_d0.80_instance01,500,2.86,105.8,1783263541
scenario_n500_l250_d0.20_instance01,500,24.21,27.68,1783263541
scenario_n500_l250_d0.50_instance01,500,11.5,60.89,1783263541
scenario_n500_l250_d0.80_instance01,500,5.07,105.29,1783263541
scenario_n500_l375_d0.20_instance01,500,30.79,38.39,1783263541
scenario_n500_l375_d0.50_instance01,500,15.0,66.52,1783263541
scenario_n500_l375_d0.80_instance01,500,6.57,107.67,1783263541
scenario_n500_l500_d0.20_instance01,500,37.07,50.4,1783263541
scenario_n500_l500_d0.50_instance01,500,17.14,73.83,1783263541
scenario_n500_l500_d0.80_instance01,500,7.86,111.33,1783263541
scenario_n500_l625_d0.20_instance01,500,41.71,63.32,1783263541
scenario_n500_l625_d0.50_instance01,500,20.0,79.04,1783263541
scenario_n500_l625_d0.80_instance01,500,10.21,118.37,1783263541
