# master_seed: 1783263541
instance,run_id,seed,greedy,rand_0.3,rand_0.5,rand_0.8,react_0.5,react_1.0,react_2.0,time_greedy,time_rand_0.3,time_rand_0.5,time_rand_0.8,time_react_0.5,time_react_1.0,time_react_2.0
scenario_n1000_l1000_d0.20_instance01,1,23289,69,NA,NA,NA,NA,NA,NA,43.9467,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.50_instance01,1,23289,45,NA,NA,NA,NA,NA,NA,69.3237,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.80_instance01,1,23289,25,NA,NA,NA,NA,NA,NA,95.7359,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.20_instance01,1,23289,75,NA,NA,NA,NA,NA,NA,53.4277,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.50_instance01,1,23289,49,NA,NA,NA,NA,NA,NA,77.3265,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.80_instance01,1,23289,21,NA,NA,NA,NA,NA,NA,99.5027,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.20_instance01,1,23289,39,NA,NA,NA,NA,NA,NA,25.1975,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.50_instance01,1,23289,35,NA,NA,NA,NA,NA,NA,58.6086,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.80_instance01,1,23289,16,NA,NA,NA,NA,NA,NA,89.7883,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.20_instance01,1,23289,53,NA,NA,NA,NA,NA,NA,28.0226,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.50_instance01,1,23289,40,NA,NA,NA,NA,NA,NA,59.8672,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.80_instance01,1,23289,19,NA,NA,NA,NA,NA,NA,93.4416,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.20_instance01,1,23289,59,NA,NA,NA,NA,NA,NA,34.8586,NA,NA,NA,NA,NA,NA
