instance,best,literature,greedy,rand_0.1,rand_0.2,rand_0.3,react_0.5,react_1.0,react_2.0
scenario_n100_l100_d0.20_instance01,10.3,0.0,0.7758899676375405,1.4676375404530744,2.40210355987055,1.4676375404530744,0.3187702265372168,0.30663430420711973,0.28294036061026334
scenario_n100_l100_d0.50_instance01,4.7,0.0,2.182624113475177,4.097517730496453,6.411347517730497,3.75177304964539,0.7198581560283689,0.7198581560283689,0.9756838905775077
scenario_n100_l100_d0.80_instance01,3.0,0.0,3.4583333333333335,6.944444444444444,10.472222222222221,6.263888888888889,1.3055555555555556,1.3055555555555556,1.8333333333333333
scenario_n100_l125_d0.20_instance01,11.3,0.0,0.8952802359882006,1.617994100294985,2.5029498525073746,1.5184365781710911,0.33849557522123885,0.32374631268436577,0.3906447534766117
scenario_n100_l125_d0.50_instance01,5.4,0.0,2.248456790123457,4.208333333333333,6.276234567901234,3.814814814814815,0.8672839506172839,0.8595679012345677,1.1428571428571426
scenario_n100_l125_d0.80_instance01,4.0,0.0,2.9583333333333335,6.135416666666667,8.864583333333334,5.208333333333333,1.1875,1.1458333333333335,1.6428571428571428
scenario_n100_l25_d0.20_instance01,4.5,0.0,0.4537037037037038,0.8796296296296298,1.7037037037037035,0.9259259259259258,0.14814814814814822,0.12037037037037043,0.12698412698412692
scenario_n100_l25_d0.50_instance01,2.0,0.0,1.4791666666666665,2.8125,4.895833333333333,2.75,0.39583333333333326,0.39583333333333326,0.5
scenario_n100_l25_d0.80_instance01,1.8,0.0,1.5,3.236111111111111,5.50462962962963,3.074074074074074,0.3425925925925925,0.3425925925925925,0.507936507936508
scenario_n100_l50_d0.20_instance01,6.9,0.0,0.5519323671497585,1.1497584541062802,2.103864734299517,1.1859903381642511,0.16545893719806748,0.17149758454106281,0.14906832298136644
scenario_n100_l50_d0.50_instance01,3.0,0.0,1.777777777777778,3.5416666666666665,5.986111111111111,3.513888888888889,0.5416666666666666,0.5416666666666666,0.619047619047619
scenario_n100_l50_d0.80_instance01,2.0,0.0,2.8125,5.875,9.625,5.5,0.9583333333333333,0.9583333333333333,1.2142857142857144
Média,,0.0,1.7578331907657458,3.49716747310022,5.562381963803543,3.247896952696644,0.6074580396026505,0.5992907869900559,0.7821365762456113
