instance,literature,greedy,rand_0.3,rand_0.5,rand_0.8,react_0.5,react_1.0,react_2.0
scenario_n50_l12_d0.20_instance01,1210.0,0.053425,6.297700000000001,6.307174999999999,5.448025,34.924625000000006,34.025475,29.954625
scenario_n50_l12_d0.50_instance01,40.0,0.077625,8.950175,9.1141,9.64095,56.478275,56.645525,59.56815
scenario_n50_l12_d0.80_instance01,30.0,0.118225,12.605375,14.608975,13.436675000000001,80.225225,80.46857499999999,73.888025
scenario_n50_l25_d0.20_instance01,2580.0,0.06797500000000001,6.75125,6.887725,7.341675,43.128575,47.760925,41.398300000000006
scenario_n50_l25_d0.50_instance01,80.0,0.10919999999999999,11.3385,11.0197,11.880825,70.352,66.48214999999999,58.71855
scenario_n50_l25_d0.80_instance01,60.0,0.107,14.32665,17.028275,15.3656,89.98785,84.6665,84.888925
scenario_n50_l50_d0.20_instance01,9110.0,0.1233,10.481000000000002,13.143,15.313849999999999,71.92445000000001,71.069075,67.263425
scenario_n50_l50_d0.50_instance01,3800.0,0.136325,15.630424999999999,18.0299,20.020075,96.95570000000001,90.6016,80.95339999999999
scenario_n50_l50_d0.80_instance01,140.0,0.14354999999999998,20.259875,20.24685,24.1038,115.678875,109.4199,102.50087500000001
scenario_n50_l62_d0.20_instance01,5670.0,0.18525,13.96425,15.685099999999998,18.400775,90.741625,88.9214,78.643625
scenario_n50_l62_d0.50_instance01,62980.0,0.155425,17.523325,19.94185,23.265950000000004,110.764025,105.6708,91.455925
scenario_n50_l62_d0.80_instance01,41760.0,0.15707500000000002,21.813100000000002,24.96085,27.2928,133.03109999999998,124.655225,111.957625
Média,10621.666666666666,0.11953124999999999,13.328468749999999,14.747791666666664,15.959250000000003,82.84936041666667,80.03226249999999,73.43262083333333
